Scale,MAxSubSum1,MAxSubSum2,MAxSubSum3,MAxSubSum4
500,0.057,0,0,0
1000,0.451,0.001,0,0
1500,1.484,0.003,0,0
2000,3.381,0.005,0,0
2500,6.597,0.008,0,0
3000,11.248,0.011,0.001,0
3500,18.083,0.016,0,0
4000,27,0.02,0,0
4500,38.817,0.025,0,0
5000,52.757,0.031,0,0
5500,71.477,0.037,0,0
6000,92.534,0.044,0,0
6500,116.525,0.052,0,0
7000,146.031,0.06,0,0
7500,179.507,0.071,0,0
8000,217.543,0.081,0,0
8500,267.007,0.091,0,0
9000,325.438,0.105,0.002,0
9500,382.292,0.114,0,0
